기관명,소재지,주소,위도,경도,접종요일,접종가능시간,비고,연락처
동구보건소,대구광역시 동구,대구광역시 동구 동촌로 79,35.88812301,128.651215,수,09:00~11:00,예약제,053-662-3261
대구파티마병원,대구광역시 동구,대구광역시 동구 아양로 99,35.88384756,128.6229926,월+금,09:00~12:00,예약제,1688-7090
신소아청소년과의원,대구광역시 수성구,대구광역시 수성구 지범로 107,35.82511225,128.6325704,화+금,10:00~12:30,예약제,053-427-0231
박문호소아청소년과의원,대구광역시 중구,대구광역시 중구 동덕로 91,35.86268049,128.6026301,월+화+수+목+금+토,월~금10:00~16:00 (토요일은 13:00까지),예약제,053-425-1275
계명대학교 동산병원,대구광역시 달서구,대구광역시 달서구 달구벌대로 1035 ,35.8538871,128.4801355,화+목,14:00~16:00,예약제,053-258-4859
인구보건복지협회 가족보건의원,대구광역시 서구,대구광역시 서구 국채보상로46길 16 ,35.86899974,128.5558039,월+화+수+목+금,09:00~12:00,예약제,053-566-1903
다나소아청소년과의원,대구광역시 달서구,대구광역시 달서구 명덕로 10,35.86108125,128.5721578,월+수,10:00~12:00,예약제,053-427-2312
시지연합소아청소년과의원,대구광역시 수성구,대구광역시 수성구 달구벌대로 3231,35.84002,128.7099,월+화+수+목+금,10:00~12:00,예약제,053-793-6633
예은소아청소년과의원,대구광역시 서구,대구광역시 서구 국채보상로 316,35.87202,128.56525,월+화+수+목+금+토,09:00~18:30,예약제,053-554-6688
열린아동병원,대구광역시 달서구,대구광역시 달서구 달구벌대로 1542,35.85306,128.53591,화+금,10:00~12:00,예약제,053-269-7000
튼튼소아과의원,대구광역시 북구,대구광역시 북구 대천로 94,35.9366542,128.5593704,월+화+수+목+금,10:00~14:30,예약제,053-313-0297
